" 1, 1928, 44, ""Emil Jannings"", ""The Last Command, The Way of All Flesh"""
" 2, 1929, 41, ""Warner Baxter"", ""In Old Arizona"""
" 3, 1930, 62, ""George Arliss"", ""Disraeli"""
" 4, 1931, 53, ""Lionel Barrymore"", ""A Free Soul"""
" 5, 1932, 47, ""Wallace Beery"", ""The Champ"""
" 6, 1933, 35, ""Fredric March"", ""Dr. Jekyll and Mr. Hyde"""
" 7, 1934, 34, ""Charles Laughton"", ""The Private Life of Henry VIII"""
" 8, 1935, 34, ""Clark Gable"", ""It Happened One Night"""
" 9, 1936, 49, ""Victor McLaglen"", ""The Informer"" "
"10, 1937, 41, ""Paul Muni"", ""The Story of Louis Pasteur"" "
"11, 1938, 37, ""Spencer Tracy"", ""Captains Courageous"""
"12, 1939, 38, ""Spencer Tracy"", ""Boys Town"""
"13, 1940, 34, ""Robert Donat"", ""Goodbye, Mr. Chips""      "
"14, 1941, 32, ""James Stewart"", ""The Philadelphia Story"""
"15, 1942, 40, ""Gary Cooper"", ""Sergeant York"""
"16, 1943, 43, ""James Cagney"", ""Yankee Doodle Dandy""     "
"17, 1944, 48, ""Paul Lukas"", ""Watch on the Rhine""        "
"18, 1945, 41, ""Bing Crosby"", ""Going My Way"""
"19, 1946, 39, ""Ray Milland"", ""The Lost Weekend""         "
"20, 1947, 49, ""Fredric March"", ""The Best Years of Our Lives"""
"21, 1948, 57, ""Ronald Colman"", ""A Double Life"""
"22, 1949, 41, ""Laurence Olivier"", ""Hamlet"""
"23, 1950, 38, ""Broderick Crawford"", ""All the King's Men"""
"24, 1951, 39, ""José Ferrer"", ""Cyrano de Bergerac"""
"25, 1952, 52, ""Humphrey Bogart"", ""The African Queen"""
"26, 1953, 51, ""Gary Cooper"", ""High Noon"""
"27, 1954, 35, ""William Holden"", ""Stalag 17"""
"28, 1955, 30, ""Marlon Brando"", ""On the Waterfront"""
"29, 1956, 39, ""Ernest Borgnine"", ""Marty"""
"30, 1957, 36, ""Yul Brynner"", ""The King and I"""
"31, 1958, 43, ""Alec Guinness"", ""The Bridge on the River Kwai"""
"32, 1959, 49, ""David Niven"", ""Separate Tables"""
"33, 1960, 36, ""Charlton Heston"", ""Ben-Hur"""
"34, 1961, 47, ""Burt Lancaster"", ""Elmer Gantry"""
"35, 1962, 31, ""Maximilian Schell"", ""Judgment at Nuremberg""      "
"36, 1963, 47, ""Gregory Peck"", ""To Kill a Mockingbird"""
"37, 1964, 37, ""Sidney Poitier"", ""Lilies of the Field"""
"38, 1965, 57, ""Rex Harrison"", ""My Fair Lady"""
"39, 1966, 42, ""Lee Marvin"", ""Cat Ballou""        "
"40, 1967, 45, ""Paul Scofield"", ""A Man for All Seasons"""
"41, 1968, 42, ""Rod Steiger"", ""In the Heat of the Night"" "
"42, 1969, 45, ""Cliff Robertson"", ""Charly"""
"43, 1970, 62, ""John Wayne"", ""True Grit"""
"44, 1971, 43, ""George C. Scott"", ""Patton"""
"45, 1972, 42, ""Gene Hackman"", ""The French Connection"""
"46, 1973, 48, ""Marlon Brando"", ""The Godfather"""
"47, 1974, 49, ""Jack Lemmon"", ""Save the Tiger"""
"48, 1975, 56, ""Art Carney"", ""Harry and Tonto"""
"49, 1976, 38, ""Jack Nicholson"", ""One Flew Over the Cuckoo's Nest"""
"50, 1977, 60, ""Peter Finch"", ""Network"""
"51, 1978, 30, ""Richard Dreyfuss"", ""The Goodbye Girl"""
"52, 1979, 40, ""Jon Voight"", ""Coming Home"""
"53, 1980, 42, ""Dustin Hoffman"", ""Kramer vs. Kramer"""
"54, 1981, 37, ""Robert De Niro"", ""Raging Bull"""
"55, 1982, 76, ""Henry Fonda"", ""On Golden Pond"""
"56, 1983, 39, ""Ben Kingsley"", ""Gandhi"""
"57, 1984, 53, ""Robert Duvall"", ""Tender Mercies"""
"58, 1985, 45, ""F. Murray Abraham"", ""Amadeus"""
"59, 1986, 36, ""William Hurt"", ""Kiss of the Spider Woman"""
"60, 1987, 62, ""Paul Newman"", ""The Color of Money"""
"61, 1988, 43, ""Michael Douglas"", ""Wall Street"""
"62, 1989, 51, ""Dustin Hoffman"", ""Rain Man"""
"63, 1990, 32, ""Daniel Day-Lewis"", ""My Left Foot"""
"64, 1991, 42, ""Jeremy Irons"", ""Reversal of Fortune"""
"65, 1992, 54, ""Anthony Hopkins"", ""The Silence of the Lambs"""
"66, 1993, 52, ""Al Pacino"", ""Scent of a Woman"""
"67, 1994, 37, ""Tom Hanks"", ""Philadelphia"""
"68, 1995, 38, ""Tom Hanks"", ""Forrest Gump"""
"69, 1996, 32, ""Nicolas Cage"", ""Leaving Las Vegas"""
"70, 1997, 45, ""Geoffrey Rush"", ""Shine"""
"71, 1998, 60, ""Jack Nicholson"", ""As Good as It Gets"""
"72, 1999, 46, ""Roberto Benigni"", ""Life Is Beautiful"""
"73, 2000, 40, ""Kevin Spacey"", ""American Beauty"""
"74, 2001, 36, ""Russell Crowe"", ""Gladiator"""
"75, 2002, 47, ""Denzel Washington"", ""Training Day""       "
"76, 2003, 29, ""Adrien Brody"", ""The Pianist"""
"77, 2004, 43, ""Sean Penn"", ""Mystic River"""
"78, 2005, 37, ""Jamie Foxx"", ""Ray"""
"79, 2006, 38, ""Philip Seymour Hoffman"", ""Capote"""
"80, 2007, 45, ""Forest Whitaker"", ""The Last King of Scotland""    "
"81, 2008, 50, ""Daniel Day-Lewis"", ""There Will Be Blood"""
"82, 2009, 48, ""Sean Penn"", ""Milk"""
"83, 2010, 60, ""Jeff Bridges"", ""Crazy Heart"""
"84, 2011, 50, ""Colin Firth"", ""The King's Speech""        "
"85, 2012, 39, ""Jean Dujardin"", ""The Artist"""
"86, 2013, 55, ""Daniel Day-Lewis"", ""Lincoln"""
"87, 2014, 44, ""Matthew McConaughey"", ""Dallas Buyers Club"""
"88, 2015, 33, ""Eddie Redmayne"", ""The Theory of Everything""      "
"89, 2016, 41, ""Leonardo DiCaprio"", ""The Revenant"""
" 1, 1928, 22, ""Janet Gaynor"", ""Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans"""
" 2, 1929, 37, ""Mary Pickford"", ""Coquette"""
" 3, 1930, 28, ""Norma Shearer"", ""The Divorcee""   "
" 4, 1931, 63, ""Marie Dressler"", ""Min and Bill"""
" 5, 1932, 32, ""Helen Hayes"", ""The Sin of Madelon Claudet""       "
" 6, 1933, 26, ""Katharine Hepburn"", ""Morning Glory"""
" 7, 1934, 31, ""Claudette Colbert"", ""It Happened One Night"""
" 8, 1935, 27, ""Bette Davis"", ""Dangerous"""
" 9, 1936, 27, ""Luise Rainer"", ""The Great Ziegfeld"""
"10, 1937, 28, ""Luise Rainer"", ""The Good Earth"""
"11, 1938, 30, ""Bette Davis"", ""Jezebel"""
"12, 1939, 26, ""Vivien Leigh"", ""Gone with the Wind"""
"13, 1940, 29, ""Ginger Rogers"", ""Kitty Foyle"""
"14, 1941, 24, ""Joan Fontaine"", ""Suspicion""      "
"15, 1942, 38, ""Greer Garson"", ""Mrs. Miniver"""
"16, 1943, 25, ""Jennifer Jones"", ""The Song of Bernadette"""
"17, 1944, 29, ""Ingrid Bergman"", ""Gaslight"""
"18, 1945, 40, ""Joan Crawford"", ""Mildred Pierce"""
"19, 1946, 30, ""Olivia de Havilland"", ""To Each His Own"""
"20, 1947, 35, ""Loretta Young"", ""The Farmer's Daughter"""
"21, 1948, 32, ""Jane Wyman"", ""Johnny Belinda"""
"22, 1949, 33, ""Olivia de Havilland"", ""The Heiress"""
"23, 1950, 29, ""Judy Holliday"", ""Born Yesterday"""
"24, 1951, 38, ""Vivien Leigh"", ""A Streetcar Named Desire"""
"25, 1952, 54, ""Shirley Booth"", ""Come Back, Little Sheba"""
"26, 1953, 24, ""Audrey Hepburn"", ""Roman Holiday"""
"27, 1954, 25, ""Grace Kelly"", ""The Country Girl"""
"28, 1955, 48, ""Anna Magnani"", ""The Rose Tattoo"""
"29, 1956, 41, ""Ingrid Bergman"", ""Anastasia"""
"30, 1957, 28, ""Joanne Woodward"", ""The Three Faces of Eve"""
"31, 1958, 41, ""Susan Hayward"", ""I Want to Live!"""
"32, 1959, 39, ""Simone Signoret"", ""Room at the Top"""
"33, 1960, 29, ""Elizabeth Taylor"", ""BUtterfield 8"""
"34, 1961, 27, ""Sophia Loren"", ""Two Women"""
"35, 1962, 31, ""Anne Bancroft"", ""The Miracle Worker"""
"36, 1963, 31, ""Patricia Neal"", ""Hud"""
"37, 1964, 29, ""Julie Andrews"", ""Mary Poppins"""
"38, 1965, 25, ""Julie Christie"", ""Darling"""
"39, 1966, 35, ""Elizabeth Taylor"", ""Who's Afraid of Virginia Woolf?"""
"40, 1967, 60, ""Katharine Hepburn"", ""Guess Who's Coming to Dinner"""
"41, 1968, 61, ""Katharine Hepburn"", ""The Lion in Winter"""
"42, 1969, 26, ""Barbra Streisand"", ""Funny Girl"""
"43, 1970, 35, ""Maggie Smith"", ""The Prime of Miss Jean Brodie"""
"44, 1971, 34, ""Glenda Jackson"", ""Women in Love"""
"45, 1972, 34, ""Jane Fonda"", ""Klute"""
"46, 1973, 27, ""Liza Minnelli"", ""Cabaret"""
"47, 1974, 37, ""Glenda Jackson"", ""A Touch of Class"""
"48, 1975, 42, ""Ellen Burstyn"", ""Alice Doesn't Live Here Anymore""        "
"49, 1976, 41, ""Louise Fletcher"", ""One Flew Over the Cuckoo's Nest"""
"50, 1977, 36, ""Faye Dunaway"", ""Network"""
"51, 1978, 32, ""Diane Keaton"", ""Annie Hall"""
"52, 1979, 41, ""Jane Fonda"", ""Coming Home"""
"53, 1980, 33, ""Sally Field"", ""Norma Rae"""
"54, 1981, 31, ""Sissy Spacek"", ""Coal Miner's Daughter""   "
"55, 1982, 74, ""Katharine Hepburn"", ""On Golden Pond"""
"56, 1983, 33, ""Meryl Streep"", ""Sophie's Choice"""
"57, 1984, 49, ""Shirley MacLaine"", ""Terms of Endearment"" "
"58, 1985, 38, ""Sally Field"", ""Places in the Heart"""
"59, 1986, 61, ""Geraldine Page"", ""The Trip to Bountiful"" "
"60, 1987, 21, ""Marlee Matlin"", ""Children of a Lesser God"""
"61, 1988, 41, ""Cher"", ""Moonstruck"""
"62, 1989, 26, ""Jodie Foster"", ""The Accused"""
"63, 1990, 80, ""Jessica Tandy"", ""Driving Miss Daisy"""
"64, 1991, 42, ""Kathy Bates"", ""Misery"""
"65, 1992, 29, ""Jodie Foster"", ""The Silence of the Lambs"""
"66, 1993, 33, ""Emma Thompson"", ""Howards End"""
"67, 1994, 36, ""Holly Hunter"", ""The Piano"""
"68, 1995, 45, ""Jessica Lange"", ""Blue Sky"""
"69, 1996, 49, ""Susan Sarandon"", ""Dead Man Walking"""
"70, 1997, 39, ""Frances McDormand"", ""Fargo"""
"71, 1998, 34, ""Helen Hunt"", ""As Good as It Gets"""
"72, 1999, 26, ""Gwyneth Paltrow"", ""Shakespeare in Love"""
"73, 2000, 25, ""Hilary Swank"", ""Boys Don't Cry"""
"74, 2001, 33, ""Julia Roberts"", ""Erin Brockovich"""
"75, 2002, 35, ""Halle Berry"", ""Monster's Ball"""
"76, 2003, 35, ""Nicole Kidman"", ""The Hours"""
"77, 2004, 28, ""Charlize Theron"", ""Monster"""
"78, 2005, 30, ""Hilary Swank"", ""Million Dollar Baby"""
"79, 2006, 29, ""Reese Witherspoon"", ""Walk the Line"""
"80, 2007, 61, ""Helen Mirren"", ""The Queen"""
"81, 2008, 32, ""Marion Cotillard"", ""La Vie en rose"""
"82, 2009, 33, ""Kate Winslet"", ""The Reader"""
"83, 2010, 45, ""Sandra Bullock"", ""The Blind Side"""
"84, 2011, 29, ""Natalie Portman"", ""Black Swan"""
"85, 2012, 62, ""Meryl Streep"", ""The Iron Lady"""
"86, 2013, 22, ""Jennifer Lawrence"", ""Silver Linings Playbook"""
"87, 2014, 44, ""Cate Blanchett"", ""Blue Jasmine"""
"88, 2015, 54, ""Julianne Moore"", ""Still Alice"""
"89, 2016, 26, ""Brie Larson"", ""Room"""
